Decade,UN_Geosheme_Subregion,Disaster_Type,Climate_Scenario,Financial_mpact,Human_Impact,Disaster_Occurence
1900,Australia and New Zealand,Droughts,,23597171,630188,17
1900,Australia and New Zealand,Droughts,,23270850,227156,60
1900,Australia and New Zealand,Droughts,,79564852,910248,85
1900,Australia and New Zealand,Droughts,,19436371,845612,31
1900,Australia and New Zealand,Floods,,90547197,84405,89
1900,Australia and New Zealand,Floods,,47558150,54043,45
1900,Australia and New Zealand,Floods,,30872741,400305,13
1900,Australia and New Zealand,Floods,,92548645,935383,53
1900,Australia and New Zealand,Storms,,6677624,241100,16
1900,Australia and New Zealand,Storms,,67908430,943193,53
1900,Australia and New Zealand,Storms,,70279501,768052,30
1900,Australia and New Zealand,Storms,,91525970,670411,93
1900,Caribbean,Droughts,,14205884,408841,78
1900,Caribbean,Droughts,,72499108,400942,25
1900,Caribbean,Droughts,,26854589,436123,15
1900,Caribbean,Droughts,,89230884,203222,59
1900,Caribbean,Floods,,54187581,31348,23
1900,Caribbean,Floods,,62208842,799232,23
1900,Caribbean,Floods,,46154922,608785,12
1900,Caribbean,Floods,,73638741,601951,80
1900,Caribbean,Storms,,23777225,128626,66
1900,Caribbean,Storms,,52257913,985538,10
1900,Caribbean,Storms,,85998054,620335,38
1900,Caribbean,Storms,,21259583,960034,83
1900,Central America,Droughts,,62559191,724044,60
1900,Central America,Droughts,,8204810,679460,1
1900,Central America,Droughts,,65183246,708792,13
1900,Central America,Droughts,,90244166,195611,27
1900,Central America,Floods,,65887625,908576,88
1900,Central America,Floods,,4972587,116903,18
1900,Central America,Floods,,20053489,846514,41
1900,Central America,Floods,,52108302,47225,68
1900,Central America,Storms,,97410042,259631,26
1900,Central America,Storms,,49242067,155712,33
1900,Central America,Storms,,16311265,60581,37
1900,Central America,Storms,,12533586,601066,68
1900,Central Asia,Droughts,,32143415,739632,39
1900,Central Asia,Droughts,,26927275,938656,0
1900,Central Asia,Droughts,,97065734,253696,94
1900,Central Asia,Droughts,,79745922,896388,98
1900,Central Asia,Floods,,42170711,764649,14
1900,Central Asia,Floods,,77275954,282715,59
1900,Central Asia,Floods,,67214702,516355,45
1900,Central Asia,Floods,,20161160,997984,9
1900,Central Asia,Storms,,75850610,735777,36
1900,Central Asia,Storms,,73787250,894669,63
1900,Central Asia,Storms,,18640037,363065,44
1900,Central Asia,Storms,,32730230,654736,49
1900,Eastern Africa,Droughts,,67300062,586671,22
1900,Eastern Africa,Droughts,,24444356,73083,90
1900,Eastern Africa,Droughts,,50375178,961752,91
1900,Eastern Africa,Droughts,,52344465,577676,59
1900,Eastern Africa,Floods,,61958437,190203,72
1900,Eastern Africa,Floods,,68237996,711827,42
1900,Eastern Africa,Floods,,54560420,570661,24
1900,Eastern Africa,Floods,,37794123,518359,7
1900,Eastern Africa,Storms,,93098889,484380,3
1900,Eastern Africa,Storms,,99935059,420542,70
1900,Eastern Africa,Storms,,82420624,496594,67
1900,Eastern Africa,Storms,,62017540,984310,5
1900,Eastern Asia,Droughts,,74848182,767448,79
1900,Eastern Asia,Droughts,,82911646,174894,13
1900,Eastern Asia,Droughts,,23314597,676498,57
1900,Eastern Asia,Droughts,,14432395,38977,43
1900,Eastern Asia,Floods,,45473437,413812,58
1900,Eastern Asia,Floods,,50820199,687210,41
1900,Eastern Asia,Floods,,83663524,21166,66
1900,Eastern Asia,Floods,,13013625,804600,8
1900,Eastern Asia,Storms,,24249074,86321,82
1900,Eastern Asia,Storms,,80591750,613176,72
1900,Eastern Asia,Storms,,17889419,229256,44
1900,Eastern Asia,Storms,,55474451,973292,44
1900,Eastern Europe,Droughts,,35759418,231477,34
1900,Eastern Europe,Droughts,,6703716,484087,72
1900,Eastern Europe,Droughts,,3281036,19886,49
1900,Eastern Europe,Droughts,,61699484,767187,11
1900,Eastern Europe,Floods,,85032145,980126,32
1900,Eastern Europe,Floods,,45959449,15116,96
1900,Eastern Europe,Floods,,58410771,277700,77
1900,Eastern Europe,Floods,,81824226,533707,76
1900,Eastern Europe,Storms,,98077769,109053,16
1900,Eastern Europe,Storms,,25935347,23940,11
1900,Eastern Europe,Storms,,63968150,268118,38
