Decade,UN_Geosheme_Subregion,Disaster_Type,RCP,Financial_Impact,Human_Impact,DO,Rain,°C
2020,Australia and New Zealand,Floods,2.6,47913440.0,584154.0,82,,
2020,Australia and New Zealand,Floods,4.5,34041165.0,389372.0,23,,
2020,Australia and New Zealand,Floods,6.0,13723660.0,830218.0,7,,
2020,Australia and New Zealand,Floods,8.5,23851471.0,101237.0,44,,
2020,Australia and New Zealand,Droughts,2.6,90652953.0,588447.0,23,,
2020,Australia and New Zealand,Droughts,4.5,51112959.0,255956.0,96,,
2020,Australia and New Zealand,Droughts,6.0,26363124.0,898331.0,37,,
2020,Australia and New Zealand,Droughts,8.5,49324185.0,885157.0,42,,
2020,Caribbean,Floods,2.6,65384277.0,735881.0,93,,
2020,Caribbean,Floods,4.5,46255608.0,545766.0,95,,
2020,Caribbean,Floods,6.0,37472940.0,723047.0,10,,
2020,Caribbean,Floods,8.5,60048832.0,23928.0,14,,
2020,Caribbean,Droughts,2.6,75492417.0,819280.0,73,,
2020,Caribbean,Droughts,4.5,56825345.0,826661.0,82,,
2020,Caribbean,Droughts,6.0,20905004.0,320449.0,6,,
2020,Caribbean,Droughts,8.5,31130719.0,431379.0,41,,
2020,Central America,Floods,2.6,16240209.0,838934.0,69,,
2020,Central America,Floods,4.5,27355098.0,630815.0,72,,
2020,Central America,Floods,6.0,79326211.0,255591.0,24,,
2020,Central America,Floods,8.5,57488456.0,388279.0,83,,
2020,Central America,Droughts,2.6,17863877.0,972258.0,38,,
2020,Central America,Droughts,4.5,26420023.0,559494.0,65,,
2020,Central America,Droughts,6.0,46470809.0,116382.0,26,,
2020,Central America,Droughts,8.5,43911938.0,264814.0,48,,
2020,Central Asia,Floods,2.6,95048734.0,128955.0,58,,
2020,Central Asia,Floods,4.5,63868878.0,539371.0,61,,
2020,Central Asia,Floods,6.0,79887084.0,942986.0,29,,
2020,Central Asia,Floods,8.5,68823681.0,668506.0,91,,
2020,Central Asia,Droughts,2.6,37898879.0,169585.0,37,,
2020,Central Asia,Droughts,4.5,14449641.0,947371.0,31,,
2020,Central Asia,Droughts,6.0,36151905.0,547470.0,11,,
2020,Central Asia,Droughts,8.5,96284895.0,232086.0,11,,
2020,Eastern Africa,Floods,2.6,20678678.0,541112.0,56,,
2020,Eastern Africa,Floods,4.5,71938518.0,374198.0,37,,
2020,Eastern Africa,Floods,6.0,40604764.0,83687.0,3,,
2020,Eastern Africa,Floods,8.5,23198548.0,692647.0,31,,
2020,Eastern Africa,Droughts,2.6,38939790.0,169777.0,70,,
2020,Eastern Africa,Droughts,4.5,54055810.0,44359.0,63,,
2020,Eastern Africa,Droughts,6.0,50326064.0,34480.0,21,,
2020,Eastern Africa,Droughts,8.5,64097703.0,393351.0,53,,
2020,Eastern Asia,Floods,2.6,92751578.0,827096.0,73,,
2020,Eastern Asia,Floods,4.5,87143049.0,436678.0,15,,
2020,Eastern Asia,Floods,6.0,48104106.0,667371.0,18,,
2020,Eastern Asia,Floods,8.5,21172188.0,719491.0,75,,
2020,Eastern Asia,Droughts,2.6,19101063.0,96267.0,36,,
2020,Eastern Asia,Droughts,4.5,77663867.0,611361.0,86,,
2020,Eastern Asia,Droughts,6.0,97350591.0,966124.0,21,,
2020,Eastern Asia,Droughts,8.5,59784120.0,681276.0,62,,
2020,Eastern Europe,Floods,2.6,83357972.0,444637.0,9,,
2020,Eastern Europe,Floods,4.5,68385036.0,608969.0,12,,
2020,Eastern Europe,Floods,6.0,84753502.0,309448.0,94,,
2020,Eastern Europe,Floods,8.5,46729563.0,840992.0,81,,
2020,Eastern Europe,Droughts,2.6,66948584.0,278950.0,51,,
2020,Eastern Europe,Droughts,4.5,82707387.0,325136.0,88,,
2020,Eastern Europe,Droughts,6.0,76100625.0,230440.0,94,,
2020,Eastern Europe,Droughts,8.5,61456070.0,399403.0,96,,
2020,Melanesia,Floods,2.6,13859178.0,24742.0,98,,
2020,Melanesia,Floods,4.5,35668598.0,7830.0,0,,
2020,Melanesia,Floods,6.0,25463225.0,63520.0,21,,
2020,Melanesia,Floods,8.5,22388008.0,407707.0,12,,
2020,Melanesia,Droughts,2.6,97648849.0,766535.0,21,,
2020,Melanesia,Droughts,4.5,16734068.0,38530.0,65,,
2020,Melanesia,Droughts,6.0,20645299.0,369513.0,76,,
2020,Melanesia,Droughts,8.5,1592260.0,514889.0,37,,
2020,Micronesia,Floods,2.6,38066222.0,68156.0,96,,
2020,Micronesia,Floods,4.5,62136381.0,256874.0,93,,
2020,Micronesia,Floods,6.0,25202508.0,303158.0,88,,
2020,Micronesia,Floods,8.5,21652662.0,494744.0,26,,
2020,Micronesia,Droughts,2.6,23702643.0,120795.0,76,,
2020,Micronesia,Droughts,4.5,92286646.0,541518.0,47,,
2020,Micronesia,Droughts,6.0,97903953.0,611778.0,55,,
2020,Micronesia,Droughts,8.5,58066596.0,346147.0,86,,
2020,Middle Africa,Floods,2.6,41580423.0,227949.0,51,,
2020,Middle Africa,Floods,4.5,79526554.0,280722.0,97,,
2020,Middle Africa,Floods,6.0,81681837.0,95907.0,41,,
2020,Middle Africa,Floods,8.5,52937354.0,367983.0,19,,
2020,Middle Africa,Droughts,2.6,70946759.0,785405.0,98,,
2020,Middle Africa,Droughts,4.5,94162476.0,67048.0,76,,
2020,Middle Africa,Droughts,6.0,62649707.0,843789.0,12,,
2020,Middle Africa,Droughts,8.5,11730744.0,535078.0,13,,
2020,Northern Africa,Floods,2.6,52552218.0,565885.0,92,,
2020,Northern Africa,Floods,4.5,86542538.0,947731.0,75,,
2020,Northern Africa,Floods,6.0,53166722.0,652296.0,88,,
2020,Northern Africa,Floods,8.5,56273660.0,442470.0,59,,
2020,Northern Africa,Droughts,2.6,30980849.0,783529.0,59,,
2020,Northern Africa,Droughts,4.5,78868332.0,602709.0,39,,
2020,Northern Africa,Droughts,6.0,28412081.0,903123.0,56,,
2020,Northern Africa,Droughts,8.5,18819248.0,679368.0,51,,
2020,Northern America,Floods,2.6,37515895.0,547696.0,82,,
2020,Northern America,Floods,4.5,65582936.0,487185.0,5,,
2020,Northern America,Floods,6.0,73324125.0,781118.0,65,,
2020,Northern America,Floods,8.5,10291745.0,141697.0,21,,
2020,Northern America,Droughts,2.6,31183428.0,303355.0,49,,
2020,Northern America,Droughts,4.5,5830178.0,800942.0,27,,
