Decade,UN_Geosheme_Subregion,Disaster_Type,RCP,Financial_Impact,Human_Impact,DO,°C
1900,Australia and New Zealand,Droughts,,97929068,538777,27,21
1900,Australia and New Zealand,Floods,,45575723,86978,84,3
1900,Australia and New Zealand,Storms,,15848786,683556,5,-53
1900,Caribbean,Droughts,,99881443,379788,57,-31
1900,Caribbean,Floods,,73940077,812265,87,-32
1900,Caribbean,Storms,,28233792,439976,29,-51
1900,Central America,Droughts,,56567783,865614,83,48
1900,Central America,Floods,,19500842,383228,14,35
1900,Central America,Storms,,65264966,230297,99,-24
1900,Central Asia,Droughts,,78806605,315229,82,14
1900,Central Asia,Floods,,20000390,501666,49,-52
1900,Central Asia,Storms,,29532987,351449,6,39
1900,Eastern Africa,Droughts,,49702797,260224,96,-26
1900,Eastern Africa,Floods,,2504570,486214,21,4
1900,Eastern Africa,Storms,,74949033,949779,75,23
1900,Eastern Asia,Droughts,,61786521,42396,10,-5
1900,Eastern Asia,Floods,,74384051,364490,27,11
1900,Eastern Asia,Storms,,72268695,133248,91,16
1900,Eastern Europe,Droughts,,24394678,911527,85,13
1900,Eastern Europe,Floods,,87347527,623000,18,-56
1900,Eastern Europe,Storms,,24859983,618007,97,45
1900,Melanesia,Droughts,,7360982,465450,24,34
1900,Melanesia,Floods,,1705509,774157,82,-1
1900,Melanesia,Storms,,92529252,368438,40,21
1900,Micronesia,Droughts,,89539537,853930,14,-39
1900,Micronesia,Floods,,9697274,378175,7,20
1900,Micronesia,Storms,,33225273,940447,52,5
1900,Middle Africa,Droughts,,28295652,583451,47,-17
1900,Middle Africa,Floods,,27668757,835685,85,-50
1900,Middle Africa,Storms,,10055268,178174,56,-51
1900,Northern Africa,Droughts,,10159594,822713,28,-50
1900,Northern Africa,Floods,,57499236,435634,35,15
1900,Northern Africa,Storms,,46121124,80461,87,-60
1900,Northern America,Droughts,,15256912,200893,71,-35
1900,Northern America,Floods,,49958132,616530,59,-6
1900,Northern America,Storms,,44301399,750219,78,4
1900,Northern Europe,Droughts,,32451006,902149,72,-35
1900,Northern Europe,Floods,,17494149,566852,91,-48
1900,Northern Europe,Storms,,62988112,501860,9,-31
1900,Polynesia,Droughts,,84407172,542234,21,2
1900,Polynesia,Floods,,69832064,841554,67,-35
1900,Polynesia,Storms,,89676102,901511,10,-48
1900,South America,Droughts,,71326471,407324,7,27
1900,South America,Floods,,60584566,753512,54,40
1900,South America,Storms,,72378624,722580,43,37
1900,South-Eastern Asia,Droughts,,64168788,599419,49,-10
1900,South-Eastern Asia,Floods,,8054585,278705,13,18
1900,South-Eastern Asia,Storms,,69839478,627819,94,19
1900,Southern Africa,Droughts,,11013638,878562,18,20
1900,Southern Africa,Floods,,73995617,975669,27,41
1900,Southern Africa,Storms,,80192184,704292,16,-40
1900,Southern Asia,Droughts,,22668498,581454,97,49
1900,Southern Asia,Floods,,32865958,391384,47,8
1900,Southern Asia,Storms,,16524559,115419,16,17
1900,Southern Europe,Droughts,,30011320,299012,81,-45
1900,Southern Europe,Floods,,73377265,549601,76,-33
1900,Southern Europe,Storms,,65126372,298292,62,1
1900,Western Africa,Droughts,,79890465,939819,20,17
1900,Western Africa,Floods,,19818521,408072,99,-42
1900,Western Africa,Storms,,26554528,954524,41,43
1900,Western Asia,Droughts,,36315078,922038,43,22
1900,Western Asia,Floods,,53566697,980189,59,-43
1900,Western Asia,Storms,,17210809,584681,62,0
1900,Western Europe,Droughts,,97751782,381519,10,-41
1900,Western Europe,Floods,,50523144,232703,16,44
1900,Western Europe,Storms,,1217285,581039,24,9
1910,Australia and New Zealand,Droughts,,33797902,106741,78,9
1910,Australia and New Zealand,Floods,,89427865,302442,35,26
1910,Australia and New Zealand,Storms,,19896482,300943,85,-26
1910,Caribbean,Droughts,,7765431,376902,11,26
1910,Caribbean,Floods,,97329082,842439,77,-55
1910,Caribbean,Storms,,97707958,218607,6,-27
1910,Central America,Droughts,,71433667,762994,73,19
1910,Central America,Floods,,87429308,337756,43,45
1910,Central America,Storms,,69674026,570604,88,-17
1910,Central Asia,Droughts,,53274279,96204,1,-20
1910,Central Asia,Floods,,89940278,468900,43,-34
1910,Central Asia,Storms,,99973790,396798,51,49
1910,Eastern Africa,Droughts,,94559281,334178,56,-28
1910,Eastern Africa,Floods,,20898374,78219,19,32
1910,Eastern Africa,Storms,,39588436,181976,29,-13
1910,Eastern Asia,Droughts,,65275012,942148,23,-55
1910,Eastern Asia,Floods,,96215554,858794,14,21
1910,Eastern Asia,Storms,,30129253,675601,8,19
1910,Eastern Europe,Droughts,,51802516,644985,63,-46
1910,Eastern Europe,Floods,,82506769,248074,73,-38
1910,Eastern Europe,Storms,,94204265,874843,97,-16
1910,Melanesia,Droughts,,11989680,563012,47,-14
1910,Melanesia,Floods,,3017585,298566,80,46
1910,Melanesia,Storms,,92862034,928205,74,29
1910,Micronesia,Droughts,,91908886,981324,91,40
1910,Micronesia,Floods,,12553228,122465,4,-11
1910,Micronesia,Storms,,3965209,656616,64,-14
1910,Middle Africa,Droughts,,4290159,934779,33,49
1910,Middle Africa,Floods,,47825076,649829,27,33
1910,Middle Africa,Storms,,31327802,304779,89,-22
1910,Northern Africa,Droughts,,30138430,117592,54,-34
1910,Northern Africa,Floods,,6289255,166914,94,-55
1910,Northern Africa,Storms,,10259419,367966,60,30
1910,Northern America,Droughts,,29689774,217663,62,12
1910,Northern America,Floods,,41241743,458685,47,38
1910,Northern America,Storms,,65910836,60004,60,27
1910,Northern Europe,Droughts,,7452290,686112,43,13
1910,Northern Europe,Floods,,29233777,201987,35,-28
1910,Northern Europe,Storms,,86117523,958684,17,7
1910,Polynesia,Droughts,,68154279,996440,86,-29
1910,Polynesia,Floods,,76449119,448658,89,24
1910,Polynesia,Storms,,62950912,328124,34,-45
1910,South America,Droughts,,77318616,664920,91,39
1910,South America,Floods,,69754917,191788,6,-42
1910,South America,Storms,,79902627,278829,47,-38
